state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Ebonyi,south east,mother_pnc_2days,Maternal PNC within 2 days,332,187,55.93,3.22,49.62,62.24,Report,55.9% (95% CI 49.6-62.2%),55.93,49.62,62.24,55.9% (95% CI 49.6-62.2%)
Ebonyi,south east,newborn_pnc_2days,Newborn PNC within 2 days,332,188,56.2,3.13,50.07,62.33,Report,56.2% (95% CI 50.1-62.3%),56.2,50.07,62.33,56.2% (95% CI 50.1-62.3%)
Ebonyi,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,332,181,54,3.08,47.96,60.04,Report,54.0% (95% CI 48.0-60.0%),54,47.96,60.04,54.0% (95% CI 48.0-60.0%)
Ebonyi,south east,complete_continuum,Complete continuum,332,103,28.99,2.61,23.87,34.1,Report,29.0% (95% CI 23.9-34.1%),28.99,23.87,34.1,29.0% (95% CI 23.9-34.1%)
Edo,south south,anc_4plus,Four or more ANC contacts,119,101,84.22,3.29,77.77,90.67,Report,84.2% (95% CI 77.8-90.7%),84.22,77.77,90.67,84.2% (95% CI 77.8-90.7%)
Edo,south south,anc_8plus,Eight or more ANC contacts,119,52,42.29,5.45,31.61,52.98,Report,42.3% (95% CI 31.6-53.0%),42.29,31.61,52.98,42.3% (95% CI 31.6-53.0%)
Edo,south south,skilled_birth,Skilled birth attendance,158,146,92.51,2.27,88.07,96.96,Report,92.5% (95% CI 88.1-97.0%),92.51,88.07,96.96,92.5% (95% CI 88.1-97.0%)
Edo,south south,facility_delivery,Health facility delivery,158,143,90.59,2.38,85.93,95.25,Report,90.6% (95% CI 85.9-95.2%),90.59,85.93,95.25,90.6% (95% CI 85.9-95.2%)
Edo,south south,mother_pnc_2days,Maternal PNC within 2 days,158,135,86.14,3.2,79.87,92.41,Report,86.1% (95% CI 79.9-92.4%),86.14,79.87,92.41,86.1% (95% CI 79.9-92.4%)
Edo,south south,newborn_pnc_2days,Newborn PNC within 2 days,158,138,86.82,3.38,80.2,93.44,Report,86.8% (95% CI 80.2-93.4%),86.82,80.2,93.44,86.8% (95% CI 80.2-93.4%)
Edo,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,158,127,80.65,4,72.82,88.49,Report,80.7% (95% CI 72.8-88.5%),80.65,72.82,88.49,80.7% (95% CI 72.8-88.5%)
Edo,south south,complete_continuum,Complete continuum,119,76,62.71,4.56,53.76,71.66,Report,62.7% (95% CI 53.8-71.7%),62.71,53.76,71.66,62.7% (95% CI 53.8-71.7%)
Ekiti,south west,anc_4plus,Four or more ANC contacts,87,68,82.33,4.49,73.52,91.13,Report,82.3% (95% CI 73.5-91.1%),82.33,73.52,91.13,82.3% (95% CI 73.5-91.1%)
Ekiti,south west,anc_8plus,Eight or more ANC contacts,87,30,37.12,6.36,24.64,49.59,Report,37.1% (95% CI 24.6-49.6%),37.12,24.64,49.59,37.1% (95% CI 24.6-49.6%)
Ekiti,south west,skilled_birth,Skilled birth attendance,111,99,92.78,2.52,87.83,97.72,Report,92.8% (95% CI 87.8-97.7%),92.78,87.83,97.72,92.8% (95% CI 87.8-97.7%)
Ekiti,south west,facility_delivery,Health facility delivery,106,89,85.45,3.23,79.13,91.77,Report,85.5% (95% CI 79.1-91.8%),85.45,79.13,91.77,85.5% (95% CI 79.1-91.8%)
Ekiti,south west,mother_pnc_2days,Maternal PNC within 2 days,111,83,77.48,3.75,70.14,84.82,Report,77.5% (95% CI 70.1-84.8%),77.48,70.14,84.82,77.5% (95% CI 70.1-84.8%)
Ekiti,south west,newborn_pnc_2days,Newborn PNC within 2 days,111,87,78.39,4.1,70.35,86.44,Report,78.4% (95% CI 70.3-86.4%),78.39,70.35,86.44,78.4% (95% CI 70.3-86.4%)
