state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Enugu,south east,anc_4plus,Four or more ANC contacts,123,99,78.61,4.09,70.6,86.62,Report,78.6% (95% CI 70.6-86.6%),78.61,70.6,86.62,78.6% (95% CI 70.6-86.6%),53.65,13,96.64,14.03,18.03,24.96
Rivers,south south,anc_4plus,Four or more ANC contacts,196,150,76.48,3.78,69.06,83.89,Report,76.5% (95% CI 69.1-83.9%),76.48,69.06,83.89,76.5% (95% CI 69.1-83.9%),53.65,14,96.64,14.03,20.16,22.83
Ondo,south west,anc_4plus,Four or more ANC contacts,125,84,72.3,4.98,62.54,82.05,Report,72.3% (95% CI 62.5-82.0%),72.3,62.54,82.05,72.3% (95% CI 62.5-82.0%),53.65,15,96.64,14.03,24.34,18.65
Akwa Ibom,south south,anc_4plus,Four or more ANC contacts,148,99,66.41,4.03,58.52,74.3,Report,66.4% (95% CI 58.5-74.3%),66.41,58.52,74.3,66.4% (95% CI 58.5-74.3%),53.65,16,96.64,14.03,30.23,12.76
Nasarawa,north central,anc_4plus,Four or more ANC contacts,294,193,65.95,3.39,59.3,72.6,Report,66.0% (95% CI 59.3-72.6%),65.95,59.3,72.6,66.0% (95% CI 59.3-72.6%),53.65,17,96.64,14.03,30.69,12.3
Ebonyi,south east,anc_4plus,Four or more ANC contacts,332,220,61.73,4.69,52.53,70.93,Report,61.7% (95% CI 52.5-70.9%),61.73,52.53,70.93,61.7% (95% CI 52.5-70.9%),53.65,18,96.64,14.03,34.91,8.08
Borno,north east,anc_4plus,Four or more ANC contacts,347,204,61.1,4.11,53.04,69.16,Report,61.1% (95% CI 53.0-69.2%),61.1,53.04,69.16,61.1% (95% CI 53.0-69.2%),53.65,19,96.64,14.03,35.54,7.45
Kaduna,north west,anc_4plus,Four or more ANC contacts,504,296,59.43,4.34,50.93,67.94,Report,59.4% (95% CI 50.9-67.9%),59.43,50.93,67.94,59.4% (95% CI 50.9-67.9%),53.65,20,96.64,14.03,37.21,5.78
Adamawa,north east,anc_4plus,Four or more ANC contacts,350,197,56.55,4.83,47.09,66.01,Report,56.5% (95% CI 47.1-66.0%),56.55,47.09,66.01,56.5% (95% CI 47.1-66.0%),53.65,21,96.64,14.03,40.09,2.9
Bayelsa,south south,anc_4plus,Four or more ANC contacts,147,72,56.21,7.54,41.43,70.99,Report,56.2% (95% CI 41.4-71.0%),56.21,41.43,70.99,56.2% (95% CI 41.4-71.0%),53.65,22,96.64,14.03,40.43,2.56
Kogi,north central,anc_4plus,Four or more ANC contacts,269,148,54.26,5.14,44.18,64.34,Report,54.3% (95% CI 44.2-64.3%),54.26,44.18,64.34,54.3% (95% CI 44.2-64.3%),53.65,23,96.64,14.03,42.38,0.61
Kano,north west,anc_4plus,Four or more ANC contacts,566,298,52.18,3.45,45.41,58.95,Report,52.2% (95% CI 45.4-59.0%),52.18,45.41,58.95,52.2% (95% CI 45.4-59.0%),53.65,24,96.64,14.03,44.46,-1.47
Kwara,north central,anc_4plus,Four or more ANC contacts,226,113,51.58,7.95,35.99,67.16,Report,51.6% (95% CI 36.0-67.2%),51.58,35.99,67.16,51.6% (95% CI 36.0-67.2%),53.65,25,96.64,14.03,45.06,-2.07
Taraba,north east,anc_4plus,Four or more ANC contacts,268,138,50.55,5.2,40.35,60.74,Report,50.5% (95% CI 40.4-60.7%),50.55,40.35,60.74,50.5% (95% CI 40.4-60.7%),53.65,26,96.64,14.03,46.09,-3.1
Benue,north central,anc_4plus,Four or more ANC contacts,218,99,49.13,4.58,40.16,58.1,Report,49.1% (95% CI 40.2-58.1%),49.13,40.16,58.1,49.1% (95% CI 40.2-58.1%),53.65,27,96.64,14.03,47.51,-4.52
Yobe,north east,anc_4plus,Four or more ANC contacts,458,208,48.5,2.89,42.83,54.17,Report,48.5% (95% CI 42.8-54.2%),48.5,42.83,54.17,48.5% (95% CI 42.8-54.2%),53.65,28,96.64,14.03,48.14,-5.15
Plateau,north central,anc_4plus,Four or more ANC contacts,328,155,47.59,4.53,38.72,56.45,Report,47.6% (95% CI 38.7-56.5%),47.59,38.72,56.45,47.6% (95% CI 38.7-56.5%),53.65,29,96.64,14.03,49.05,-6.06
Bauchi,north east,anc_4plus,Four or more ANC contacts,454,206,46.83,5.01,37.01,56.64,Report,46.8% (95% CI 37.0-56.6%),46.83,37.01,56.64,46.8% (95% CI 37.0-56.6%),53.65,30,96.64,14.03,49.81,-6.82
Gombe,north east,anc_4plus,Four or more ANC contacts,391,143,39.1,5.13,29.06,49.15,Report,39.1% (95% CI 29.1-49.1%),39.1,29.06,49.15,39.1% (95% CI 29.1-49.1%),53.65,31,96.64,14.03,57.54,-14.55
Jigawa,north west,anc_4plus,Four or more ANC contacts,523,191,37.66,2.83,32.12,43.2,Report,37.7% (95% CI 32.1-43.2%),37.66,32.12,43.2,37.7% (95% CI 32.1-43.2%),53.65,32,96.64,14.03,58.98,-15.99
Katsina,north west,anc_4plus,Four or more ANC contacts,419,160,37.24,4.5,28.42,46.06,Report,37.2% (95% CI 28.4-46.1%),37.24,28.42,46.06,37.2% (95% CI 28.4-46.1%),53.65,33,96.64,14.03,59.4,-16.41
Niger,north central,anc_4plus,Four or more ANC contacts,368,136,34.69,4.72,25.44,43.94,Report,34.7% (95% CI 25.4-43.9%),34.69,25.44,43.94,34.7% (95% CI 25.4-43.9%),53.65,34,96.64,14.03,61.95,-18.96
Sokoto,north west,anc_4plus,Four or more ANC contacts,441,107,22.75,4.29,14.35,31.15,Report,22.8% (95% CI 14.3-31.1%),22.75,14.35,31.15,22.8% (95% CI 14.3-31.1%),53.65,35,96.64,14.03,73.89,-30.9
Zamfara,north west,anc_4plus,Four or more ANC contacts,292,62,21.46,4.63,12.39,30.53,Report,21.5% (95% CI 12.4-30.5%),21.46,12.39,30.53,21.5% (95% CI 12.4-30.5%),53.65,36,96.64,14.03,75.18,-32.19
