equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
education,Education,no education,skilled_birth,Skilled birth attendance,4534,833,18.05,0.93,16.22,19.87,Report,18.1% (95% CI 16.2-19.9%)
education,Education,no education,facility_delivery,Health facility delivery,4528,817,17.95,0.97,16.04,19.86,Report,17.9% (95% CI 16.0-19.9%)
education,Education,no education,mother_pnc_2days,Maternal PNC within 2 days,4534,1021,22.12,0.95,20.25,23.99,Report,22.1% (95% CI 20.2-24.0%)
education,Education,no education,newborn_pnc_2days,Newborn PNC within 2 days,4534,1052,22.07,0.95,20.2,23.94,Report,22.1% (95% CI 20.2-23.9%)
education,Education,no education,paired_pnc_2days,Mother and newborn both received PNC within 2 days,4534,890,18.54,0.89,16.79,20.29,Report,18.5% (95% CI 16.8-20.3%)
education,Education,no education,complete_continuum,Complete continuum,4513,293,6.45,0.55,5.37,7.53,Report,6.4% (95% CI 5.4-7.5%)
education,Education,primary,anc_4plus,Four or more ANC contacts,1142,626,55.55,1.97,51.69,59.42,Report,55.5% (95% CI 51.7-59.4%)
education,Education,primary,anc_8plus,Eight or more ANC contacts,1142,156,13.65,1.25,11.21,16.09,Report,13.6% (95% CI 11.2-16.1%)
education,Education,primary,skilled_birth,Skilled birth attendance,1172,528,42.71,1.71,39.37,46.06,Report,42.7% (95% CI 39.4-46.1%)
education,Education,primary,facility_delivery,Health facility delivery,1162,488,38.63,2.04,34.64,42.62,Report,38.6% (95% CI 34.6-42.6%)
education,Education,primary,mother_pnc_2days,Maternal PNC within 2 days,1172,479,37.28,1.93,33.5,41.07,Report,37.3% (95% CI 33.5-41.1%)
education,Education,primary,newborn_pnc_2days,Newborn PNC within 2 days,1172,490,37.68,1.82,34.11,41.25,Report,37.7% (95% CI 34.1-41.2%)
education,Education,primary,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1172,430,32.47,1.82,28.9,36.04,Report,32.5% (95% CI 28.9-36.0%)
education,Education,primary,complete_continuum,Complete continuum,1142,231,18.41,1.32,15.82,20.99,Report,18.4% (95% CI 15.8-21.0%)
education,Education,secondary,anc_4plus,Four or more ANC contacts,3520,2580,73.5,1,71.54,75.46,Report,73.5% (95% CI 71.5-75.5%)
education,Education,secondary,anc_8plus,Eight or more ANC contacts,3520,1013,28.79,1.11,26.6,30.97,Report,28.8% (95% CI 26.6-31.0%)
education,Education,secondary,skilled_birth,Skilled birth attendance,3673,2618,69.83,1.13,67.61,72.05,Report,69.8% (95% CI 67.6-72.0%)
education,Education,secondary,facility_delivery,Health facility delivery,3633,2460,65.22,1.21,62.85,67.6,Report,65.2% (95% CI 62.9-67.6%)
education,Education,secondary,mother_pnc_2days,Maternal PNC within 2 days,3673,2289,61.69,1.06,59.61,63.77,Report,61.7% (95% CI 59.6-63.8%)
education,Education,secondary,newborn_pnc_2days,Newborn PNC within 2 days,3673,2287,60.36,1.12,58.16,62.56,Report,60.4% (95% CI 58.2-62.6%)
education,Education,secondary,paired_pnc_2days,Mother and newborn both received PNC within 2 days,3673,2100,55.58,1.14,53.34,57.82,Report,55.6% (95% CI 53.3-57.8%)
education,Education,secondary,complete_continuum,Complete continuum,3520,1424,39.36,1.1,37.22,41.51,Report,39.4% (95% CI 37.2-41.5%)
age_group,Age group,15-19,anc_4plus,Four or more ANC contacts,654,248,40.16,2.63,35.01,45.3,Report,40.2% (95% CI 35.0-45.3%)
age_group,Age group,15-19,anc_8plus,Eight or more ANC contacts,654,53,8.49,1.43,5.69,11.28,Report,8.5% (95% CI 5.7-11.3%)
age_group,Age group,15-19,skilled_birth,Skilled birth attendance,666,226,31.92,2.5,27.02,36.81,Report,31.9% (95% CI 27.0-36.8%)
age_group,Age group,15-19,facility_delivery,Health facility delivery,664,221,30.77,2.34,26.19,35.35,Report,30.8% (95% CI 26.2-35.4%)
age_group,Age group,15-19,mother_pnc_2days,Maternal PNC within 2 days,666,219,30.99,2.46,26.17,35.81,Report,31.0% (95% CI 26.2-35.8%)
age_group,Age group,15-19,newborn_pnc_2days,Newborn PNC within 2 days,666,223,31.3,2.49,26.43,36.18,Report,31.3% (95% CI 26.4-36.2%)
age_group,Age group,15-19,paired_pnc_2days,Mother and newborn both received PNC within 2 days,666,190,25.96,2.4,21.26,30.66,Report,26.0% (95% CI 21.3-30.7%)
age_group,Age group,15-19,complete_continuum,Complete continuum,654,86,12.41,1.68,9.12,15.69,Report,12.4% (95% CI 9.1-15.7%)
age_group,Age group,20-24,anc_4plus,Four or more ANC contacts,2365,1186,50.9,1.56,47.85,53.95,Report,50.9% (95% CI 47.9-54.0%)
age_group,Age group,20-24,anc_8plus,Eight or more ANC contacts,2365,333,13.42,0.89,11.68,15.16,Report,13.4% (95% CI 11.7-15.2%)
age_group,Age group,20-24,skilled_birth,Skilled birth attendance,2420,1064,41.74,1.48,38.84,44.64,Report,41.7% (95% CI 38.8-44.6%)
age_group,Age group,20-24,facility_delivery,Health facility delivery,2409,1016,39.75,1.45,36.91,42.6,Report,39.8% (95% CI 36.9-42.6%)
age_group,Age group,20-24,mother_pnc_2days,Maternal PNC within 2 days,2420,1015,40.04,1.31,37.47,42.61,Report,40.0% (95% CI 37.5-42.6%)
age_group,Age group,20-24,newborn_pnc_2days,Newborn PNC within 2 days,2420,1028,39.59,1.24,37.16,42.01,Report,39.6% (95% CI 37.2-42.0%)
age_group,Age group,20-24,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2420,916,34.98,1.24,32.55,37.42,Report,35.0% (95% CI 32.5-37.4%)
age_group,Age group,20-24,complete_continuum,Complete continuum,2365,528,20.39,1.05,18.33,22.45,Report,20.4% (95% CI 18.3-22.4%)
age_group,Age group,25-29,anc_4plus,Four or more ANC contacts,2745,1542,55.35,1.36,52.68,58.02,Report,55.4% (95% CI 52.7-58.0%)
age_group,Age group,25-29,anc_8plus,Eight or more ANC contacts,2745,525,18.31,0.98,16.39,20.24,Report,18.3% (95% CI 16.4-20.2%)
age_group,Age group,25-29,skilled_birth,Skilled birth attendance,2813,1369,46.56,1.33,43.94,49.17,Report,46.6% (95% CI 43.9-49.2%)
age_group,Age group,25-29,facility_delivery,Health facility delivery,2796,1305,44.37,1.34,41.75,47,Report,44.4% (95% CI 41.8-47.0%)
age_group,Age group,25-29,mother_pnc_2days,Maternal PNC within 2 days,2813,1298,44.13,1.3,41.59,46.68,Report,44.1% (95% CI 41.6-46.7%)
age_group,Age group,25-29,newborn_pnc_2days,Newborn PNC within 2 days,2813,1312,44.17,1.28,41.65,46.68,Report,44.2% (95% CI 41.6-46.7%)
age_group,Age group,25-29,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2813,1196,39.94,1.28,37.42,42.45,Report,39.9% (95% CI 37.4-42.5%)
age_group,Age group,25-29,complete_continuum,Complete continuum,2745,785,26.71,1.11,24.54,28.88,Report,26.7% (95% CI 24.5-28.9%)
age_group,Age group,30-34,anc_4plus,Four or more ANC contacts,2287,1344,58.53,1.46,55.68,61.39,Report,58.5% (95% CI 55.7-61.4%)
age_group,Age group,30-34,anc_8plus,Eight or more ANC contacts,2287,479,20.42,1.1,18.27,22.57,Report,20.4% (95% CI 18.3-22.6%)
age_group,Age group,30-34,skilled_birth,Skilled birth attendance,2365,1247,49.88,1.41,47.12,52.63,Report,49.9% (95% CI 47.1-52.6%)
age_group,Age group,30-34,facility_delivery,Health facility delivery,2347,1169,47.21,1.45,44.37,50.06,Report,47.2% (95% CI 44.4-50.1%)
age_group,Age group,30-34,mother_pnc_2days,Maternal PNC within 2 days,2365,1181,48.17,1.38,45.46,50.87,Report,48.2% (95% CI 45.5-50.9%)
age_group,Age group,30-34,newborn_pnc_2days,Newborn PNC within 2 days,2365,1162,46.41,1.38,43.71,49.11,Report,46.4% (95% CI 43.7-49.1%)
age_group,Age group,30-34,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2365,1073,42.96,1.34,40.34,45.59,Report,43.0% (95% CI 40.3-45.6%)
age_group,Age group,30-34,complete_continuum,Complete continuum,2287,717,29.92,1.22,27.52,32.32,Report,29.9% (95% CI 27.5-32.3%)
age_group,Age group,35-39,anc_4plus,Four or more ANC contacts,1410,826,57,1.67,53.72,60.27,Report,57.0% (95% CI 53.7-60.3%)
age_group,Age group,35-39,anc_8plus,Eight or more ANC contacts,1410,278,19.34,1.28,16.83,21.85,Report,19.3% (95% CI 16.8-21.9%)
age_group,Age group,35-39,skilled_birth,Skilled birth attendance,1463,776,50.29,1.77,46.83,53.76,Report,50.3% (95% CI 46.8-53.8%)
age_group,Age group,35-39,facility_delivery,Health facility delivery,1453,747,48.2,1.69,44.89,51.5,Report,48.2% (95% CI 44.9-51.5%)
age_group,Age group,35-39,mother_pnc_2days,Maternal PNC within 2 days,1463,718,47.07,1.69,43.75,50.38,Report,47.1% (95% CI 43.8-50.4%)
age_group,Age group,35-39,newborn_pnc_2days,Newborn PNC within 2 days,1463,717,46.25,1.67,42.99,49.52,Report,46.2% (95% CI 43.0-49.5%)
age_group,Age group,35-39,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1463,651,42.24,1.61,39.08,45.39,Report,42.2% (95% CI 39.1-45.4%)
