variable,raw_value,display_value,n,percent
m71,998,[998] don't know,8,0.044479039252752144
m71,112,112,7,0.038919159346158125
m71,109,109,5,0.027799399532970087
m71,209,209,5,0.027799399532970087
m71,210,210,5,0.027799399532970087
m71,303,303,4,0.022239519626376072
m71,111,111,3,0.016679639719782053
m71,113,113,3,0.016679639719782053
m71,118,118,2,0.011119759813188036
m71,212,212,2,0.011119759813188036
m71,214,214,2,0.011119759813188036
m71,309,309,2,0.011119759813188036
m71,114,114,1,0.005559879906594018
m71,115,115,1,0.005559879906594018
m71,120,120,1,0.005559879906594018
m71,121,121,1,0.005559879906594018
m71,128,128,1,0.005559879906594018
m71,130,130,1,0.005559879906594018
m71,136,136,1,0.005559879906594018
m71,216,216,1,0.005559879906594018
m71,217,217,1,0.005559879906594018
m71,224,224,1,0.005559879906594018
m71,230,230,1,0.005559879906594018
m71,240,240,1,0.005559879906594018
m71,307,307,1,0.005559879906594018
m71,308,308,1,0.005559879906594018
m71,310,310,1,0.005559879906594018
m72,<MISSING>,<MISSING>,15654,87.03436005782275
m72,22,[22] traditional birth attendant,881,4.8982541977093295
m72,12,[12] nurse/midwife,841,4.675859001445569
m72,11,[11] doctor,255,1.4177693761814745
m72,21,[21] auxiliary midwife,146,0.8117424663627266
m72,13,[13] community health extension worker,130,0.7227843878572223
m72,23,[23] community health influencers promoters and services (chips)/community health wor,52,0.28911375514288895
m72,96,[96] other,27,0.1501167574780385
m74,<MISSING>,<MISSING>,11606,64.52796619593016
m74,1,[1] yes,4956,27.554764817079953
m74,0,[0] no,1397,7.767152229511842
m74,8,[8] don't know,27,0.1501167574780385
m75,<MISSING>,<MISSING>,13030,72.44523518292006
m75,101,101,1488,8.273101301011899
m75,100,[100] zero hours,1291,7.177804959412877
m75,102,102,939,5.220727232291782
m75,103,103,422,2.3462693205826755
m75,104,104,151,0.8395418658956967
m75,105,105,130,0.7227843878572223
m75,201,[201] one day,114,0.633826309351718
m75,106,106,101,0.5615478705659958
m75,998,[998] don't know,61,0.33915267430223506
m75,202,202,46,0.2557544757033248
m75,108,108,42,0.23351495607694872
m75,112,112,31,0.17235627710441456
m75,107,107,30,0.16679639719782052
m75,203,203,17,0.0945179584120983
m75,124,124,16,0.08895807850550429
m75,109,109,14,0.07783831869231625
m75,110,110,13,0.07227843878572224
m75,111,111,8,0.044479039252752144
m75,114,114,5,0.027799399532970087
m75,120,120,4,0.022239519626376072
m75,115,115,3,0.016679639719782053
m75,118,118,3,0.016679639719782053
m75,205,205,3,0.016679639719782053
m75,206,206,3,0.016679639719782053
m75,301,[301] one week,3,0.016679639719782053
m75,302,302,3,0.016679639719782053
m75,113,113,2,0.011119759813188036
m75,207,207,2,0.011119759813188036
m75,306,306,2,0.011119759813188036
m75,116,116,1,0.005559879906594018
m75,117,117,1,0.005559879906594018
m75,119,119,1,0.005559879906594018
m75,122,122,1,0.005559879906594018
m75,123,123,1,0.005559879906594018
m75,130,130,1,0.005559879906594018
m75,160,160,1,0.005559879906594018
m75,204,204,1,0.005559879906594018
m75,305,305,1,0.005559879906594018
m76,<MISSING>,<MISSING>,13030,72.44523518292006
m76,12,[12] nurse/midwife,3008,16.724118759034805
m76,11,[11] doctor,1585,8.812409651951517
m76,13,[13] community health extension worker,211,1.1731346602913377
m76,21,[21] auxiliary midwife,82,0.4559101523407094
m76,23,[23] community health influencers promoters and services (chips)/community health wor,51,0.28355387523629494
m76,22,[22] traditional birth attendant,18,0.10007783831869231
m76,96,[96] other,1,0.005559879906594018
