state,zone,indicator,state_rank,public_weighted_percent,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status
Yobe,north east,Newborn PNC within 2 days,29,32.34,42.27,-9.93,54.48,Report
Taraba,north east,Newborn PNC within 2 days,30,32.29,42.27,-9.98,54.53,Report
Kano,north west,Newborn PNC within 2 days,31,30.07,42.27,-12.2,56.75,Report
Kaduna,north west,Newborn PNC within 2 days,32,23.57,42.27,-18.7,63.25,Report
Bauchi,north east,Newborn PNC within 2 days,33,20.1,42.27,-22.17,66.72,Report
Zamfara,north west,Newborn PNC within 2 days,34,18.05,42.27,-24.22,68.77,Report
Katsina,north west,Newborn PNC within 2 days,35,17.47,42.27,-24.8,69.35,Report
Kebbi,north west,Newborn PNC within 2 days,36,14.17,42.27,-28.1,72.65,Report
Sokoto,north west,Newborn PNC within 2 days,37,10.17,42.27,-32.1,76.65,Report
Imo,south east,Skilled birth attendance,1,97.32,45.09,52.23,0,Report
Enugu,south east,Skilled birth attendance,2,96.7,45.09,51.61,0.62,Report
Abia,south east,Skilled birth attendance,3,94.8,45.09,49.71,2.52,Report
Anambra,south east,Skilled birth attendance,4,93.04,45.09,47.95,4.28,Report
Ekiti,south west,Skilled birth attendance,5,92.78,45.09,47.69,4.54,Report
Edo,south south,Skilled birth attendance,6,92.51,45.09,47.42,4.81,Report
Osun,south west,Skilled birth attendance,7,91.54,45.09,46.45,5.78,Report
Rivers,south south,Skilled birth attendance,8,91.09,45.09,46,6.23,Report
Lagos,south west,Skilled birth attendance,9,86.23,45.09,41.14,11.09,Report
Oyo,south west,Skilled birth attendance,10,83.05,45.09,37.96,14.27,Report
Ogun,south west,Skilled birth attendance,11,82.86,45.09,37.77,14.46,Report
Federal Capital Territory,north central,Skilled birth attendance,12,82.58,45.09,37.49,14.74,Report
Delta,south south,Skilled birth attendance,13,81.23,45.09,36.14,16.09,Report
Ondo,south west,Skilled birth attendance,14,76.11,45.09,31.02,21.21,Report
Ebonyi,south east,Skilled birth attendance,15,73.04,45.09,27.95,24.28,Report
Nasarawa,north central,Skilled birth attendance,16,68.02,45.09,22.93,29.3,Report
Benue,north central,Skilled birth attendance,17,66.59,45.09,21.5,30.73,Report
Kogi,north central,Skilled birth attendance,18,60.65,45.09,15.56,36.67,Report
Bayelsa,south south,Skilled birth attendance,19,55.98,45.09,10.89,41.34,Report
Cross River,south south,Skilled birth attendance,20,55.45,45.09,10.36,41.87,Report
Kwara,north central,Skilled birth attendance,21,54.4,45.09,9.31,42.92,Report
Akwa Ibom,south south,Skilled birth attendance,22,51.23,45.09,6.14,46.09,Report
Plateau,north central,Skilled birth attendance,23,49.89,45.09,4.8,47.43,Report
Borno,north east,Skilled birth attendance,24,36.66,45.09,-8.43,60.66,Report
Gombe,north east,Skilled birth attendance,25,36.42,45.09,-8.67,60.9,Report
Kano,north west,Skilled birth attendance,26,35.66,45.09,-9.43,61.66,Report
Kaduna,north west,Skilled birth attendance,27,35.03,45.09,-10.06,62.29,Report
Yobe,north east,Skilled birth attendance,28,34.44,45.09,-10.65,62.88,Report
Taraba,north east,Skilled birth attendance,29,34.02,45.09,-11.07,63.3,Report
Niger,north central,Skilled birth attendance,30,33.77,45.09,-11.32,63.55,Report
Bauchi,north east,Skilled birth attendance,31,27.65,45.09,-17.44,69.67,Report
Adamawa,north east,Skilled birth attendance,32,23.62,45.09,-21.47,73.7,Report
Jigawa,north west,Skilled birth attendance,33,23.58,45.09,-21.51,73.74,Report
Katsina,north west,Skilled birth attendance,34,18.56,45.09,-26.53,78.76,Report
Sokoto,north west,Skilled birth attendance,35,12.41,45.09,-32.68,84.91,Report
Zamfara,north west,Skilled birth attendance,36,12.36,45.09,-32.73,84.96,Report
Kebbi,north west,Skilled birth attendance,37,9.81,45.09,-35.28,87.51,Report
