state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Lagos,south west,Newborn PNC within 2 days,177,86.47,81.31,91.63,Report,86.5% (95% CI 81.3-91.6%)
Lagos,south west,Mother and newborn both received PNC within 2 days,177,83.21,77.11,89.3,Report,83.2% (95% CI 77.1-89.3%)
Lagos,south west,Complete continuum,175,72.69,61.92,83.46,Report,72.7% (95% CI 61.9-83.5%)
Nasarawa,north central,Four or more ANC contacts,294,65.95,59.3,72.6,Report,66.0% (95% CI 59.3-72.6%)
Nasarawa,north central,Eight or more ANC contacts,294,10.19,6.72,13.66,Report,10.2% (95% CI 6.7-13.7%)
Nasarawa,north central,Skilled birth attendance,294,68.02,59.22,76.82,Report,68.0% (95% CI 59.2-76.8%)
Nasarawa,north central,Health facility delivery,290,54.95,45.41,64.49,Report,55.0% (95% CI 45.4-64.5%)
Nasarawa,north central,Maternal PNC within 2 days,294,68.39,60.46,76.33,Report,68.4% (95% CI 60.5-76.3%)
Nasarawa,north central,Newborn PNC within 2 days,294,65.23,57.74,72.73,Report,65.2% (95% CI 57.7-72.7%)
Nasarawa,north central,Mother and newborn both received PNC within 2 days,294,62.1,54.74,69.47,Report,62.1% (95% CI 54.7-69.5%)
Nasarawa,north central,Complete continuum,294,44.47,37.39,51.55,Report,44.5% (95% CI 37.4-51.5%)
Niger,north central,Four or more ANC contacts,368,34.69,25.44,43.94,Report,34.7% (95% CI 25.4-43.9%)
Niger,north central,Eight or more ANC contacts,368,3.23,1.21,5.26,Report,3.2% (95% CI 1.2-5.3%)
Niger,north central,Skilled birth attendance,368,33.77,24.35,43.2,Report,33.8% (95% CI 24.4-43.2%)
Niger,north central,Health facility delivery,368,30.2,22.04,38.37,Report,30.2% (95% CI 22.0-38.4%)
Niger,north central,Maternal PNC within 2 days,368,32.58,25.85,39.31,Report,32.6% (95% CI 25.9-39.3%)
Niger,north central,Newborn PNC within 2 days,368,35.24,28.78,41.7,Report,35.2% (95% CI 28.8-41.7%)
Niger,north central,Mother and newborn both received PNC within 2 days,368,30.54,24.18,36.91,Report,30.5% (95% CI 24.2-36.9%)
Niger,north central,Complete continuum,368,15.08,8.62,21.54,Report,15.1% (95% CI 8.6-21.5%)
Ogun,south west,Four or more ANC contacts,168,89.96,84.75,95.16,Report,90.0% (95% CI 84.8-95.2%)
Ogun,south west,Eight or more ANC contacts,168,82.49,75.93,89.04,Report,82.5% (95% CI 75.9-89.0%)
Ogun,south west,Skilled birth attendance,206,82.86,76.01,89.72,Report,82.9% (95% CI 76.0-89.7%)
Ogun,south west,Health facility delivery,206,83.58,77.27,89.88,Report,83.6% (95% CI 77.3-89.9%)
Ogun,south west,Maternal PNC within 2 days,206,81.03,74.25,87.81,Report,81.0% (95% CI 74.2-87.8%)
Ogun,south west,Newborn PNC within 2 days,206,81.72,74.88,88.55,Report,81.7% (95% CI 74.9-88.5%)
Ogun,south west,Mother and newborn both received PNC within 2 days,206,76.92,69.15,84.7,Report,76.9% (95% CI 69.2-84.7%)
Ogun,south west,Complete continuum,168,60.1,51.06,69.14,Report,60.1% (95% CI 51.1-69.1%)
Ondo,south west,Four or more ANC contacts,125,72.3,62.54,82.05,Report,72.3% (95% CI 62.5-82.0%)
Ondo,south west,Eight or more ANC contacts,125,35.47,23.35,47.6,Report,35.5% (95% CI 23.4-47.6%)
Ondo,south west,Skilled birth attendance,134,76.11,64.77,87.45,Report,76.1% (95% CI 64.8-87.5%)
Ondo,south west,Health facility delivery,132,84.38,76.11,92.65,Report,84.4% (95% CI 76.1-92.7%)
Ondo,south west,Maternal PNC within 2 days,134,75.87,66.44,85.31,Report,75.9% (95% CI 66.4-85.3%)
Ondo,south west,Newborn PNC within 2 days,134,73.49,62.95,84.03,Report,73.5% (95% CI 63.0-84.0%)
Ondo,south west,Mother and newborn both received PNC within 2 days,134,70.09,59.95,80.22,Report,70.1% (95% CI 60.0-80.2%)
Ondo,south west,Complete continuum,125,52.07,40.76,63.39,Report,52.1% (95% CI 40.8-63.4%)
Osun,south west,Four or more ANC contacts,148,92.72,87.59,97.86,Report,92.7% (95% CI 87.6-97.9%)
Osun,south west,Eight or more ANC contacts,148,72.19,62.13,82.25,Report,72.2% (95% CI 62.1-82.2%)
Osun,south west,Skilled birth attendance,149,91.54,87.44,95.64,Report,91.5% (95% CI 87.4-95.6%)
Osun,south west,Health facility delivery,148,87.49,81.41,93.57,Report,87.5% (95% CI 81.4-93.6%)
Osun,south west,Maternal PNC within 2 days,149,75.28,68.37,82.2,Report,75.3% (95% CI 68.4-82.2%)
Osun,south west,Newborn PNC within 2 days,149,76.5,69.69,83.32,Report,76.5% (95% CI 69.7-83.3%)
Osun,south west,Mother and newborn both received PNC within 2 days,149,70.33,63.3,77.37,Report,70.3% (95% CI 63.3-77.4%)
Osun,south west,Complete continuum,148,64.7,57.76,71.63,Report,64.7% (95% CI 57.8-71.6%)
Oyo,south west,Four or more ANC contacts,197,79.89,71.59,88.18,Report,79.9% (95% CI 71.6-88.2%)
